datetime,equity,cash,positions_value,positions,return,return_cum
2019-01-02,10000.0,10000.0,0.0,{},0.0,0.0
2019-01-03,9744.245,-3.558,9747.803,{'SPY': 43},-2.558,-2.558
2019-01-04,10077.25,-3.558,10080.808,{'SPY': 43},3.417,0.773
2019-01-07,10149.92,-3.558,10153.478,{'SPY': 43},0.721,1.499
2019-01-08,10245.75,-3.558,10249.308,{'SPY': 43},0.944,2.458
2019-01-09,10293.265,-3.558,10296.823,{'SPY': 43},0.464,2.933
2019-01-10,10336.39,-3.558,10339.948,{'SPY': 43},0.419,3.364
2019-01-11,10334.39,-3.558,10337.948,{'SPY': 43},-0.019,3.344
2019-01-14,10276.495,-3.558,10280.053,{'SPY': 43},-0.56,2.765
2019-01-15,10393.085,-3.558,10396.643,{'SPY': 43},1.135,3.931
2019-01-16,10415.845,-3.558,10419.403,{'SPY': 43},0.219,4.158
2019-01-17,10496.9,-3.558,10500.458,{'SPY': 43},0.778,4.969
2019-01-18,10634.255,-3.558,10637.813,{'SPY': 43},1.309,6.343
2019-01-22,10494.905,-3.558,10498.463,{'SPY': 43},-1.31,4.949
2019-01-23,10510.08,-3.558,10513.638,{'SPY': 43},0.145,5.101
2019-01-24,10522.455,-3.558,10526.013,{'SPY': 43},0.118,5.225
2019-01-25,10610.3,-3.558,10613.858,{'SPY': 43},0.835,6.103
2019-01-28,10529.245,-3.558,10532.803,{'SPY': 43},-0.764,5.292
2019-01-29,10514.87,-3.558,10518.428,{'SPY': 43},-0.137,5.149
2019-01-30,10680.975,-3.558,10684.532,{'SPY': 43},1.58,6.81
2019-01-31,10772.81,-3.558,10776.368,{'SPY': 43},0.86,7.728
2019-02-01,10780.795,-3.558,10784.353,{'SPY': 43},0.074,7.808
2019-02-04,10857.06,-3.558,10860.618,{'SPY': 43},0.707,8.571
2019-02-05,10904.575,-3.558,10908.132,{'SPY': 43},0.438,9.046
2019-02-06,10887.005,-3.558,10890.563,{'SPY': 43},-0.161,8.87
2019-02-07,10784.789,-3.558,10788.347,{'SPY': 43},-0.939,7.848
2019-02-08,10796.765,-3.558,10800.323,{'SPY': 43},0.111,7.968
2019-02-11,10803.55,-3.558,10807.108,{'SPY': 43},0.063,8.036
2019-02-12,10941.709,-3.558,10945.267,{'SPY': 43},1.279,9.417
2019-02-13,10976.045,-3.558,10979.603,{'SPY': 43},0.314,9.76
2019-02-14,10952.09,-3.558,10955.648,{'SPY': 43},-0.218,9.521
2019-02-15,11072.275,-3.558,11075.832,{'SPY': 43},1.097,10.723
2019-02-19,11090.644,-3.558,11094.202,{'SPY': 43},0.166,10.906
2019-02-20,11114.2,-3.558,11117.758,{'SPY': 43},0.212,11.142
2019-02-21,11075.07,-3.558,11078.627,{'SPY': 43},-0.352,10.751
2019-02-22,11142.55,-3.558,11146.107,{'SPY': 43},0.609,11.425
2019-02-25,11159.32,-3.558,11162.877,{'SPY': 43},0.151,11.593
2019-02-26,11150.135,-3.558,11153.693,{'SPY': 43},-0.082,11.501
2019-02-27,11145.744,-3.558,11149.302,{'SPY': 43},-0.039,11.457
2019-02-28,11118.194,-3.558,11121.752,{'SPY': 43},-0.247,11.182
2019-03-01,11196.054,-3.558,11199.612,{'SPY': 43},0.7,11.961
2019-03-04,11152.93,-3.558,11156.488,{'SPY': 43},-0.385,11.529
2019-03-05,11138.555,-3.558,11142.113,{'SPY': 43},-0.129,11.386
2019-03-06,11068.68,-3.558,11072.238,{'SPY': 43},-0.627,10.687
2019-03-07,10980.04,-3.558,10983.598,{'SPY': 43},-0.801,9.8
2019-03-08,10957.877,-3.558,10961.435,{'SPY': 43},-0.202,9.579
2019-03-11,11116.595,-3.558,11120.153,{'SPY': 43},1.448,11.166
2019-03-12,11154.129,-3.558,11157.687,{'SPY': 43},0.338,11.541
2019-03-13,11229.994,-3.558,11233.552,{'SPY': 43},0.68,12.3
2019-03-14,11224.004,-3.558,11227.562,{'SPY': 43},-0.053,12.24
2019-03-15,11279.874,-3.558,11283.432,{'SPY': 43},0.498,12.799
2019-03-18,11321.584,-3.558,11325.142,{'SPY': 43},0.37,13.216
2019-03-19,11325.192,-3.558,11328.75,{'SPY': 43},0.032,13.252
