datetime,symbol,side,quantity,fill_price,fees
2021-01-14,SPY,BUY,27,364.7543,1.73
2021-01-25,SPY,SELL,27,370.489,1.74
2021-01-26,SPY,BUY,27,369.9396,1.74
2021-02-01,SPY,SELL,27,362.5664,1.73
2021-02-19,SPY,BUY,26,375.9056,1.75
2021-02-23,SPY,SELL,26,373.4768,1.75
2021-02-25,SPY,BUY,26,368.5517,1.74
2021-03-01,SPY,SELL,26,375.4237,1.75
2021-03-02,SPY,BUY,26,372.5611,1.75
2021-03-05,SPY,SELL,26,369.7131,1.74
2021-03-08,SPY,BUY,27,367.9252,1.74
2021-03-12,SPY,SELL,27,379.8283,1.76
2021-03-18,SPY,BUY,27,377.2453,1.75
2021-03-25,SPY,SELL,27,376.779,1.75
2021-05-10,SPY,BUY,25,404.1829,1.81
2021-05-11,SPY,SELL,25,400.5857,1.8
2021-05-12,SPY,BUY,25,392.0474,1.78
2021-05-19,SPY,SELL,25,397.3174,1.79
2021-05-21,SPY,BUY,25,401.2433,1.8
2021-06-04,SPY,SELL,25,408.6116,1.82
2021-06-09,SPY,BUY,25,407.6929,1.82
2021-06-11,SPY,SELL,25,410.3038,1.82
2021-06-18,SPY,BUY,26,402.6043,1.81
2021-06-21,SPY,SELL,26,408.2699,1.82
2021-06-23,SPY,BUY,26,409.9773,1.82
2021-06-28,SPY,SELL,26,414.7116,1.83
2021-07-13,SPY,BUY,25,422.5987,1.85
2021-07-20,SPY,SELL,25,418.1555,1.84
2021-08-02,SPY,BUY,25,424.5099,1.85
2021-08-03,SPY,SELL,25,427.9441,1.86
2021-08-04,SPY,BUY,25,425.8972,1.85
2021-08-05,SPY,SELL,25,428.565,1.86
2021-08-18,SPY,BUY,25,426.0912,1.85
2021-08-20,SPY,SELL,25,430.0881,1.86
2021-08-26,SPY,BUY,25,432.9403,1.87
2021-08-27,SPY,SELL,25,436.7335,1.87
2021-09-01,SPY,BUY,25,438.3245,1.88
2021-09-15,SPY,SELL,25,434.4828,1.87
2021-09-17,SPY,BUY,25,429.6073,1.86
2021-10-06,SPY,SELL,25,423.2715,1.85
