datetime,symbol,side,quantity,fill_price,fees
2019-01-03 15:58:00,SPY,BUY,44,226.9995,10.99
2019-01-04 15:58:00,SPY,SELL,44,234.3492,11.31
2019-01-22 15:58:00,SPY,BUY,42,243.2589,11.22
2019-01-31 15:58:00,SPY,SELL,42,250.9289,11.54
2019-02-28 15:58:00,SPY,BUY,41,258.6454,11.6
2019-03-01 15:58:00,SPY,SELL,41,260.4654,11.68
2019-03-06 15:58:00,SPY,BUY,41,257.5404,11.56
2019-03-11 15:58:00,SPY,SELL,41,258.6547,11.6
2019-03-22 15:58:00,SPY,BUY,40,260.5587,11.42
2019-03-28 15:58:00,SPY,SELL,40,261.9251,11.48
2019-04-09 15:58:00,SPY,BUY,40,267.6097,11.7
2019-04-22 15:58:00,SPY,SELL,40,270.7248,11.83
2019-05-01 15:58:00,SPY,BUY,39,272.2404,11.62
2019-05-03 15:58:00,SPY,SELL,39,274.3389,11.7
2019-05-13 15:58:00,SPY,BUY,41,262.2235,11.75
2019-05-15 15:58:00,SPY,SELL,41,265.8563,11.9
2019-05-28 15:58:00,SPY,BUY,41,261.7665,11.73
2019-06-04 15:58:00,SPY,SELL,41,261.7106,11.73
2019-06-17 15:58:00,SPY,BUY,40,269.8061,11.79
2019-06-19 15:58:00,SPY,SELL,40,273.5414,11.94
2019-06-24 15:58:00,SPY,BUY,40,275.1528,12.01
2019-06-27 15:58:00,SPY,SELL,40,273.5501,11.94
2019-07-17 15:58:00,SPY,BUY,39,279.239,11.89
2019-07-18 15:58:00,SPY,SELL,39,279.9887,11.92
2019-07-19 15:58:00,SPY,BUY,39,278.6017,11.87
2019-07-23 15:58:00,SPY,SELL,39,281.0196,11.96
2019-08-01 15:58:00,SPY,BUY,40,276.4274,12.06
2019-08-06 15:58:00,SPY,SELL,40,269.792,11.79
2019-08-14 15:58:00,SPY,BUY,40,266.2775,11.65
2019-08-15 15:58:00,SPY,SELL,40,267.0085,11.68
2019-08-20 15:58:00,SPY,BUY,39,271.896,11.6
2019-08-21 15:58:00,SPY,SELL,39,274.1031,11.69
2019-08-23 15:58:00,SPY,BUY,40,266.3431,11.65
2019-08-26 15:58:00,SPY,SELL,40,269.3983,11.78
2019-09-19 15:58:00,SPY,BUY,38,282.1771,11.72
2019-09-25 15:58:00,SPY,SELL,38,280.2363,11.65
2019-10-01 15:58:00,SPY,BUY,39,276.0324,11.77
2019-10-03 15:58:00,SPY,SELL,39,273.1843,11.65
2019-10-08 15:58:00,SPY,BUY,39,271.9603,11.61
2019-10-15 15:58:00,SPY,SELL,39,281.5733,11.98
2019-10-22 15:58:00,SPY,BUY,39,281.6345,11.98
2019-10-23 15:58:00,SPY,SELL,39,282.2512,12.01
2019-11-05 15:58:00,SPY,BUY,38,289.0067,11.98
2019-11-08 15:58:00,SPY,SELL,38,290.7626,12.05
2019-11-29 12:58:00,SPY,BUY,37,295.7527,11.94
2019-12-06 15:58:00,SPY,SELL,37,296.44,11.97
2019-12-09 15:58:00,SPY,BUY,37,295.5268,11.93
2019-12-12 15:58:00,SPY,SELL,37,298.6055,12.05
2019-12-30 15:58:00,SPY,BUY,36,303.5129,11.93
2019-12-31 15:58:00,SPY,SELL,36,304.3833,11.96
2020-01-27 15:58:00,SPY,BUY,36,306.1858,12.02
2020-01-28 15:58:00,SPY,SELL,36,309.3838,12.14
2020-01-29 15:58:00,SPY,BUY,36,309.0716,12.13
2020-01-30 15:58:00,SPY,SELL,36,310.0934,12.16
2020-01-31 15:58:00,SPY,BUY,37,304.7855,12.28
2020-02-04 15:58:00,SPY,SELL,37,311.2666,12.52
2020-02-21 15:58:00,SPY,BUY,36,315.3871,12.35
2020-03-02 15:58:00,SPY,SELL,36,292.0313,11.51
2020-03-03 15:58:00,SPY,BUY,37,283.9416,11.51
2020-03-04 15:58:00,SPY,SELL,37,296.1092,11.96
2020-03-05 15:58:00,SPY,BUY,38,286.3638,11.88
2020-03-10 15:58:00,SPY,SELL,38,272.2897,11.35
2020-03-12 15:58:00,SPY,BUY,44,235.6025,11.37
2020-03-13 15:58:00,SPY,SELL,44,254.2985,12.19
