datetime,equity,cash,positions_value,positions,return,return_cum
2019-01-01 00:00:00,10000.0,10000.0,0.0,{},0.0,0.0
2019-01-02 15:59:00,10000.0,10000.0,0.0,{},0.0,0.0
2019-01-03 15:59:00,9975.528,1.032,9974.496,{'SPY': 44},-0.245,-0.245
2019-01-04 15:59:00,10301.087,10301.087,0.0,{'SPY': 0},3.264,3.011
2019-01-07 15:59:00,10301.087,10301.087,0.0,{'SPY': 0},0.0,3.011
2019-01-08 15:59:00,10301.087,10301.087,0.0,{'SPY': 0},0.0,3.011
2019-01-09 15:59:00,10301.087,10301.087,0.0,{'SPY': 0},0.0,3.011
2019-01-10 15:59:00,10301.087,10301.087,0.0,{'SPY': 0},0.0,3.011
2019-01-11 15:59:00,10301.087,10301.087,0.0,{'SPY': 0},0.0,3.011
2019-01-14 15:59:00,10301.087,10301.087,0.0,{'SPY': 0},0.0,3.011
2019-01-15 15:59:00,10301.087,10301.087,0.0,{'SPY': 0},0.0,3.011
2019-01-16 15:59:00,10301.087,10301.087,0.0,{'SPY': 0},0.0,3.011
2019-01-17 15:59:00,10301.087,10301.087,0.0,{'SPY': 0},0.0,3.011
2019-01-18 15:59:00,10301.087,10301.087,0.0,{'SPY': 0},0.0,3.011
2019-01-22 15:59:00,10327.306,72.993,10254.313,{'SPY': 42},0.255,3.273
2019-01-23 15:59:00,10342.127,72.993,10269.134,{'SPY': 42},0.144,3.421
2019-01-24 15:59:00,10354.215,72.993,10281.222,{'SPY': 42},0.117,3.542
2019-01-25 15:59:00,10440.017,72.993,10367.024,{'SPY': 42},0.829,4.4
2019-01-28 15:59:00,10360.847,72.993,10287.854,{'SPY': 42},-0.758,3.608
2019-01-29 15:59:00,10346.806,72.993,10273.813,{'SPY': 42},-0.136,3.468
2019-01-30 15:59:00,10509.048,72.993,10436.055,{'SPY': 42},1.568,5.09
2019-01-31 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.87,6.005
2019-02-01 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.0,6.005
2019-02-04 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.0,6.005
2019-02-05 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.0,6.005
2019-02-06 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.0,6.005
2019-02-07 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.0,6.005
2019-02-08 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.0,6.005
2019-02-11 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.0,6.005
2019-02-12 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.0,6.005
2019-02-13 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.0,6.005
2019-02-14 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.0,6.005
2019-02-15 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.0,6.005
2019-02-19 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.0,6.005
2019-02-20 15:59:00,10600.467,10600.467,0.0,{'SPY': 0},0.0,6.005
