,datetime_in,symbol,side,quantity,entry,exit,datetime_out,fees,net P/L %,net P/L $,remaining_qty
0,2019-01-03 15:58:00,SPY,BUY,44,226.9995,234.3492,2019-01-04 15:58:00,2.92,3.21,320.47,0
1,2019-01-22 15:58:00,SPY,BUY,42,243.2589,250.9289,2019-01-31 15:58:00,2.99,3.12,319.15,0
2,2019-02-28 15:58:00,SPY,BUY,41,258.6454,260.4654,2019-03-01 15:58:00,3.04,0.67,71.58,0
3,2019-03-06 15:58:00,SPY,BUY,41,257.5404,258.6547,2019-03-11 15:58:00,3.04,0.4,42.65,0
4,2019-03-22 15:58:00,SPY,BUY,41,260.5587,261.9251,2019-03-28 15:58:00,3.04,0.5,52.98,0
5,2019-04-09 15:58:00,SPY,BUY,40,267.6097,270.7248,2019-04-22 15:58:00,3.08,1.14,121.52,0
6,2019-05-01 15:58:00,SPY,BUY,40,272.2404,274.3389,2019-05-03 15:58:00,3.09,0.74,80.85,0
7,2019-05-13 15:58:00,SPY,BUY,41,262.2235,265.8563,2019-05-15 15:58:00,3.05,1.36,145.89,0
8,2019-05-28 15:58:00,SPY,BUY,42,261.7665,261.7106,2019-06-04 15:58:00,3.04,-0.05,-5.39,0
9,2019-06-17 15:58:00,SPY,BUY,41,269.8061,273.5414,2019-06-19 15:58:00,3.09,1.36,150.06,0
10,2019-06-24 15:58:00,SPY,BUY,41,275.1528,273.5501,2019-06-27 15:58:00,3.1,-0.61,-68.81,0
11,2019-07-17 15:58:00,SPY,BUY,40,279.239,279.9887,2019-07-18 15:58:00,3.12,0.24,26.87,0
12,2019-07-19 15:58:00,SPY,BUY,40,278.6017,281.0196,2019-07-23 15:58:00,3.12,0.84,93.6,0
13,2019-08-01 15:58:00,SPY,BUY,41,276.4274,269.792,2019-08-06 15:58:00,3.09,-2.43,-275.14,0
14,2019-08-14 15:58:00,SPY,BUY,41,266.2775,267.0085,2019-08-15 15:58:00,3.06,0.25,26.91,0
15,2019-08-20 15:58:00,SPY,BUY,40,271.896,274.1031,2019-08-21 15:58:00,3.09,0.78,85.19,0
16,2019-08-23 15:58:00,SPY,BUY,42,266.3431,269.3983,2019-08-26 15:58:00,3.07,1.12,125.25,0
17,2019-09-19 15:58:00,SPY,BUY,40,282.1771,280.2363,2019-09-25 15:58:00,3.12,-0.72,-80.75,0
18,2019-10-01 15:58:00,SPY,BUY,40,276.0324,273.1843,2019-10-03 15:58:00,3.1,-1.06,-117.02,0
19,2019-10-08 15:58:00,SPY,BUY,40,271.9603,281.5733,2019-10-15 15:58:00,3.1,3.51,381.42,0
20,2019-10-22 15:58:00,SPY,BUY,40,281.6345,282.2512,2019-10-23 15:58:00,3.12,0.19,21.55,0
21,2019-11-05 15:58:00,SPY,BUY,39,289.0067,290.7626,2019-11-08 15:58:00,3.16,0.58,65.32,0
22,2019-11-29 12:58:00,SPY,BUY,39,295.7527,296.44,2019-12-06 15:58:00,3.18,0.2,23.62,0
23,2019-12-09 15:58:00,SPY,BUY,39,295.5268,298.6055,2019-12-12 15:58:00,3.19,1.01,116.88,0
24,2019-12-30 15:58:00,SPY,BUY,38,303.5129,304.3833,2019-12-31 15:58:00,3.22,0.26,29.86,0
