datetime,equity,cash,positions_value,positions,return,return_cum
2019-01-02,10000.0,10000.0,0.0,{},0.0,0.0
2019-01-03,10000.0,10000.0,0.0,{},0.0,0.0
2019-01-04,10339.299,24.054,10315.246,{'SPY': 44},3.393,3.393
2019-01-07,10337.829,10337.829,0.0,{'SPY': 0},-0.014,3.378
2019-01-08,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-09,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-10,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-11,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-14,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-15,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-16,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-17,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-18,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-22,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-23,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-24,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-25,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-28,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-29,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-30,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-01-31,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-01,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-04,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-05,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-06,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-07,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-08,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-11,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-12,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-13,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-14,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-15,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-19,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-20,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-21,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-22,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-25,10337.829,10337.829,0.0,{'SPY': 0},0.0,3.378
2019-02-26,10327.979,211.839,10116.14,{'SPY': 39},-0.095,3.28
2019-02-27,10323.997,211.839,10112.158,{'SPY': 39},-0.039,3.24
2019-02-28,10322.477,10322.477,0.0,{'SPY': 0},-0.015,3.225
2019-03-01,10391.574,233.786,10157.788,{'SPY': 39},0.669,3.916
2019-03-04,10390.054,10390.054,0.0,{'SPY': 0},-0.015,3.901
2019-03-05,10390.054,10390.054,0.0,{'SPY': 0},0.0,3.901
2019-03-06,10390.054,10390.054,0.0,{'SPY': 0},0.0,3.901
2019-03-07,10306.088,88.788,10217.3,{'SPY': 40},-0.808,3.061
2019-03-08,10285.472,88.788,10196.684,{'SPY': 40},-0.2,2.855
2019-03-11,10283.962,10283.962,0.0,{'SPY': 0},-0.015,2.84
2019-03-12,10283.962,10283.962,0.0,{'SPY': 0},0.0,2.84
2019-03-13,10283.962,10283.962,0.0,{'SPY': 0},0.0,2.84
2019-03-14,10283.962,10283.962,0.0,{'SPY': 0},0.0,2.84
2019-03-15,10283.962,10283.962,0.0,{'SPY': 0},0.0,2.84
2019-03-18,10283.962,10283.962,0.0,{'SPY': 0},0.0,2.84
2019-03-19,10283.962,10283.962,0.0,{'SPY': 0},0.0,2.84
2019-03-20,10283.962,10283.962,0.0,{'SPY': 0},0.0,2.84
2019-03-21,10283.962,10283.962,0.0,{'SPY': 0},0.0,2.84
2019-03-22,10283.962,10283.962,0.0,{'SPY': 0},0.0,2.84
2019-03-25,10274.439,125.017,10149.422,{'SPY': 39},-0.093,2.744
2019-03-26,10347.19,125.017,10222.173,{'SPY': 39},0.708,3.472
2019-03-27,10299.54,125.017,10174.523,{'SPY': 39},-0.461,2.995
2019-03-28,10338.095,125.017,10213.078,{'SPY': 39},0.374,3.381
2019-03-29,10405.023,125.017,10280.006,{'SPY': 39},0.647,4.05
2019-04-01,10403.493,10403.493,0.0,{'SPY': 0},-0.015,4.035
2019-04-02,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-03,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-04,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-05,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-08,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-09,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-10,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-11,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-12,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-15,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-16,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-17,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-18,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-22,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
2019-04-23,10403.493,10403.493,0.0,{'SPY': 0},0.0,4.035
