,datetime_in,symbol,side,quantity,entry,exit,datetime_out,fees,net P/L %,net P/L $,remaining_qty
0,2021-01-14,SPY,BUY,27,364.7543,370.489,2021-01-25,3.4699999999999998,1.5369747475167412,151.36689999999933,0
1,2021-01-26,SPY,BUY,27,369.9396,362.5664,2021-02-01,3.4699999999999998,-2.0278225198163473,-202.5463999999999,0
2,2021-02-19,SPY,BUY,26,375.9056,373.4768,2021-02-23,3.5,-0.6819306189147891,-66.64879999999914,0
3,2021-02-25,SPY,BUY,26,368.5517,375.4237,2021-03-01,3.49,1.8281747800293,175.1820000000004,0
4,2021-03-02,SPY,BUY,26,372.5611,369.7131,2021-03-05,3.49,-0.8004675660531338,-77.53800000000035,0
5,2021-03-08,SPY,BUY,27,367.9252,379.8283,2021-03-12,3.5,3.199963027911751,317.88369999999986,0
6,2021-03-18,SPY,BUY,27,377.2453,376.779,2021-03-25,3.5,-0.15796873536386521,-16.090099999999723,0
7,2021-05-10,SPY,BUY,25,404.1829,400.5857,2021-05-11,3.6100000000000003,-0.9257195195541532,-93.54000000000109,0
8,2021-05-12,SPY,BUY,25,392.0474,397.3174,2021-05-19,3.5700000000000003,1.3078010465061214,128.180000000001,0
9,2021-05-21,SPY,BUY,25,401.2433,408.6116,2021-06-04,3.62,1.8002792819219746,180.58750000000086,0
10,2021-06-09,SPY,BUY,25,407.6929,410.3038,2021-06-11,3.64,0.6046953478954417,61.63250000000038,0
11,2021-06-18,SPY,BUY,26,402.6043,408.2699,2021-06-21,3.63,1.3725597603862152,143.67559999999958,0
12,2021-06-23,SPY,BUY,26,409.9773,414.7116,2021-06-28,3.6500000000000004,1.1205292060353942,119.44179999999902,0
13,2021-07-13,SPY,BUY,25,422.5987,418.1555,2021-07-20,3.6900000000000004,-1.0863261055937914,-114.76999999999975,0
14,2021-08-02,SPY,BUY,25,424.5099,427.9441,2021-08-03,3.71,0.7740219957178798,82.1449999999994,0
15,2021-08-04,SPY,BUY,25,425.8972,428.565,2021-08-05,3.71,0.5915512006183651,62.98499999999999,0
16,2021-08-18,SPY,BUY,25,426.0912,430.0881,2021-08-20,3.71,0.903210392516903,96.21249999999958,0
17,2021-08-26,SPY,BUY,25,432.9403,436.7335,2021-08-27,3.74,0.8415940950750053,91.09000000000033,0
18,2021-09-01,SPY,BUY,25,438.3245,434.4828,2021-09-15,3.75,-0.9106723443476245,-99.79250000000008,0
19,2021-09-17,SPY,BUY,25,429.6073,423.2715,2021-10-06,3.71,-1.5093318944999319,-162.10500000000016,0
20,2021-10-07,SPY,BUY,25,426.9017,430.6292,2021-10-14,3.71,0.8383897276586204,89.47750000000052,0
21,2021-10-26,SPY,BUY,24,443.7777,445.9966,2021-10-28,3.78,0.4645118490631727,49.47360000000046,0
22,2021-11-11,SPY,BUY,24,451.3981,454.7558,2021-11-12,3.8099999999999996,0.7086760001869796,76.77480000000054,0
23,2021-11-19,SPY,BUY,24,456.3713,455.7095,2021-11-23,3.82,-0.1798900734263295,-19.70320000000067,0
24,2021-11-30,SPY,BUY,24,443.6414,445.1207,2021-12-02,3.78,0.29794333892193636,31.723200000000563,0
25,2021-12-09,SPY,BUY,24,453.8507,458.1134,2021-12-10,3.83,0.9040674976741606,98.47479999999989,0
26,2021-12-13,SPY,BUY,24,454.1232,457.9869,2021-12-15,3.83,0.8156633853250971,88.89879999999988,0
27,2021-12-30,SPY,BUY,24,465.0296,466.6118,2022-01-03,3.86,0.3056507944153806,34.11280000000001,0
28,2022-01-05,SPY,BUY,24,457.4507,454.677,2022-01-10,3.82,-0.6411328404714712,-70.38879999999908,0
29,2022-01-13,SPY,BUY,24,453.7003,453.8468,2022-01-14,3.82,-0.002791857679335967,-0.3040000000012877,0
30,2022-01-19,SPY,BUY,25,441.2478,429.6255,2022-01-24,3.74,-2.667865992759623,-294.2974999999999,0
31,2022-01-27,SPY,BUY,25,421.2067,431.5886,2022-01-28,3.7,2.4296622062279574,255.84749999999934,0
32,2022-02-03,SPY,BUY,25,436.2278,440.3688,2022-02-08,3.75,0.9148889639770825,99.77500000000049,0
33,2022-02-11,SPY,BUY,26,430.231,435.6613,2022-02-15,3.7300000000000004,1.2288371738759993,137.4577999999997,0
34,2022-02-17,SPY,BUY,26,426.9104,418.3157,2022-02-24,3.6900000000000004,-2.0464769836769183,-227.1521999999997,0
35,2022-03-07,SPY,BUY,27,409.6722,415.5518,2022-03-10,3.6500000000000004,1.4021978583889398,155.09920000000105,0
36,2022-03-11,SPY,BUY,27,410.2778,416.1964,2022-03-15,3.6500000000000004,1.409633866325398,156.15219999999917,0
37,2022-03-23,SPY,BUY,26,434.8302,441.2669,2022-03-24,3.75,1.4471095224686006,163.6042000000008,0
38,2022-03-31,SPY,BUY,26,442.4817,443.6867,2022-04-01,3.7699999999999996,0.2395579297403676,27.559999999999587,0
39,2022-04-05,SPY,BUY,26,441.9429,434.36,2022-04-13,3.75,-1.748445504890058,-200.90539999999987,0
40,2022-04-14,SPY,BUY,26,428.9814,435.9765,2022-04-19,3.7300000000000004,1.5971877712037028,178.14259999999948,0
41,2022-04-21,SPY,BUY,27,429.148,419.7918,2022-04-25,3.7,-2.2121126131397646,-256.3174,0
42,2022-04-26,SPY,BUY,27,407.6631,419.106,2022-04-28,3.66,2.77369829264519,305.2983000000002,0
43,2022-04-29,SPY,BUY,28,403.6856,406.0858,2022-05-02,3.62,0.562545279225781,63.58559999999955,0
44,2022-05-09,SPY,BUY,30,390.1559,393.5359,2022-05-13,3.5700000000000003,0.8358197325735822,97.83000000000159,0
45,2022-05-18,SPY,BUY,30,383.974,388.8725,2022-05-23,3.55,1.244919360859506,143.4050000000004,0
46,2022-06-06,SPY,BUY,29,403.4015,407.2615,2022-06-07,3.62,0.9259193170558655,108.32000000000039,0
47,2022-06-08,SPY,BUY,29,402.941,372.053,2022-06-23,3.55,-7.696018472457116,-899.3019999999992,0
48,2022-06-28,SPY,BUY,29,374.6211,375.0737,2022-07-01,3.5,0.08859894566204292,9.625399999998876,0
49,2022-07-18,SPY,BUY,29,375.851,385.9461,2022-07-19,3.52,2.6536368639847105,289.2379000000001,0
50,2022-08-11,SPY,BUY,27,413.26,420.1967,2022-08-12,3.67,1.64564053479023,183.62090000000083,0
51,2022-08-23,SPY,BUY,28,405.7034,412.768,2022-08-25,3.64,1.7092782559870054,194.16879999999958,0
52,2022-08-26,SPY,BUY,29,398.806,390.0294,2022-09-01,3.58,-2.2316736147054064,-258.1013999999992,0
53,2022-09-02,SPY,BUY,30,385.9658,391.3774,2022-09-07,3.55,1.3714341184288057,158.79800000000063,0
54,2022-09-13,SPY,BUY,30,386.8119,381.0014,2022-09-16,3.5300000000000002,-1.5325709128045588,-177.84499999999971,0
55,2022-09-21,SPY,BUY,31,372.8506,366.0237,2022-09-28,3.48,-1.86110953409116,-215.11389999999895,0
56,2022-09-30,SPY,BUY,32,352.8936,373.3841,2022-10-04,3.46,5.775784825794516,652.2359999999999,0
57,2022-10-06,SPY,BUY,32,368.7308,361.5581,2022-10-13,3.46,-1.97456382813694,-232.98639999999884,0
58,2022-10-14,SPY,BUY,33,353.3777,362.388,2022-10-17,3.4299999999999997,2.520351625487567,293.9098999999991,0
59,2022-10-20,SPY,BUY,33,361.0345,369.778,2022-10-21,3.46,2.3927495890701738,285.07550000000134,0
60,2022-10-26,SPY,BUY,32,377.4842,384.2913,2022-10-28,3.52,1.7741404805817016,214.30719999999974,0
61,2022-11-01,SPY,BUY,33,379.9047,375.3699,2022-11-07,3.51,-1.221665232455312,-153.1584000000006,0
62,2022-11-09,SPY,BUY,33,369.6496,389.8931,2022-11-10,3.52,5.447546361022254,664.5154999999995,0
63,2022-11-14,SPY,BUY,33,390.4266,389.5374,2022-11-17,3.56,-0.25538187917493443,-32.90360000000055,0
64,2022-11-28,SPY,BUY,33,391.1577,402.5688,2022-11-30,3.59,2.8894515233145497,372.9763000000012,0
65,2022-12-09,SPY,BUY,34,388.5544,394.1117,2022-12-12,3.5700000000000003,1.4032269355333509,185.37819999999994,0
66,2022-12-28,SPY,BUY,36,373.8583,380.5181,2022-12-29,3.51,1.7552907077360644,236.24280000000067,0
67,2023-01-09,SPY,BUY,35,384.9602,387.7038,2023-01-10,3.55,0.6863492456029074,92.47600000000052,0
68,2023-01-18,SPY,BUY,35,388.607,392.8649,2023-01-20,3.5700000000000003,1.0694351877346393,145.45649999999824,0
69,2023-01-30,SPY,BUY,35,397.6289,403.4053,2023-01-31,3.6100000000000003,1.426771832444062,198.56400000000082,0
70,2023-02-08,SPY,BUY,35,407.5838,404.9735,2023-02-10,3.63,-0.6658788415325342,-94.99049999999984,0
71,2023-02-16,SPY,BUY,34,405.2713,404.1894,2023-02-17,3.62,-0.29322840976780556,-40.40460000000063,0
72,2023-02-21,SPY,BUY,35,396.1402,394.8102,2023-03-02,3.58,-0.36156030473193546,-50.12999999999945,0
73,2023-03-06,SPY,BUY,35,401.4302,386.4334,2023-03-15,3.5700000000000003,-3.761251644744219,-528.4580000000003,0
