datetime,equity,cash,positions_value,positions,return,return_cum
2023-08-01 00:00:00,10000.0,10000.0,0.0,{},0.0,0.0
2023-08-01 15:55:00,9995.045,409.28,9585.765,{'SPY': 21},-0.0,-0.0
2023-08-02 15:55:00,9862.22,409.28,9452.94,{'SPY': 21},-0.013,-0.014
2023-08-03 15:55:00,9834.92,409.28,9425.64,{'SPY': 21},-0.003,-0.017
2023-08-04 15:55:00,9792.08,409.28,9382.8,{'SPY': 21},-0.004,-0.021
2023-08-07 15:55:00,9873.98,409.28,9464.7,{'SPY': 21},0.008,-0.013
2023-08-08 15:55:00,9833.03,409.28,9423.75,{'SPY': 21},-0.004,-0.017
2023-08-09 15:55:00,9770.03,409.28,9360.75,{'SPY': 21},-0.006,-0.023
2023-08-10 15:55:00,9773.81,409.28,9364.53,{'SPY': 21},0.0,-0.023
2023-08-11 15:55:00,9766.46,409.28,9357.18,{'SPY': 21},-0.001,-0.023
2023-08-14 15:55:00,9819.17,409.28,9409.89,{'SPY': 21},0.005,-0.018
2023-08-15 15:55:00,9711.02,409.28,9301.74,{'SPY': 21},-0.011,-0.029
2023-08-16 15:55:00,9641.51,409.28,9232.23,{'SPY': 21},-0.007,-0.036
2023-08-17 15:55:00,9570.74,409.28,9161.46,{'SPY': 21},-0.007,-0.043
2023-08-18 15:55:00,9574.94,409.28,9165.66,{'SPY': 21},0.0,-0.043
2023-08-21 15:55:00,9635.42,409.28,9226.14,{'SPY': 21},0.006,-0.036
2023-08-22 15:55:00,9609.59,409.28,9200.31,{'SPY': 21},-0.003,-0.039
2023-08-23 15:55:00,9711.65,409.28,9302.37,{'SPY': 21},0.011,-0.029
2023-08-24 15:55:00,9584.6,409.28,9175.32,{'SPY': 21},-0.013,-0.042
2023-08-25 15:55:00,9648.23,409.28,9238.95,{'SPY': 21},0.007,-0.035
2023-08-28 15:55:00,9706.4,409.28,9297.12,{'SPY': 21},0.006,-0.029
2023-08-29 15:55:00,9841.22,409.28,9431.94,{'SPY': 21},0.014,-0.016
2023-08-30 15:55:00,9880.07,409.28,9470.79,{'SPY': 21},0.004,-0.012
2023-08-31 15:55:00,9865.16,409.28,9455.88,{'SPY': 21},-0.002,-0.013
2023-09-01 15:55:00,9884.69,409.28,9475.41,{'SPY': 21},0.002,-0.012
